quantile,n,k,p,x,strict,adjusted,log_freq_min,log_freq_max
0,100,90,8,2,0.9,0.9897,-5.7447274948966935,-2.0785944764750033
1,99,69,7,23,0.697,0.9545,-7.0,-2.843208631996071
2,100,78,9,13,0.78,0.9702,-7.0,-2.298794798000629
3,99,80,6,13,0.8081,0.9725,-7.0,-3.532243948755967
4,98,73,10,15,0.7449,0.9652,-7.0,-4.0746879085003505
5,97,62,10,24,0.6392,0.9388,-7.0,-4.372634143407267
6,94,53,11,29,0.5638,0.9269,-7.0,-4.707743928643524
7,91,41,13,37,0.4505,0.9186,-7.0,-5.200659450546418
8,77,36,14,26,0.4675,0.914,-7.0,-5.568636235841013
9,71,30,11,29,0.4225,0.9032,-7.0,-6.154901959985743
10,87,32,8,46,0.3678,0.8908,-7.0,-7.0
11,90,34,14,42,0.3778,0.9073,-7.0,-7.0
12,87,30,16,41,0.3448,0.9041,-7.0,-7.0
13,72,25,6,41,0.3472,0.8961,-7.0,-7.0
14,62,17,10,34,0.2742,0.8768,-7.0,-7.0
15,58,21,9,27,0.3621,0.8903,-7.0,-7.0
16,52,13,9,30,0.25,0.8871,-7.0,-7.0
17,52,13,4,35,0.25,0.8791,-7.0,-7.0
18,41,12,8,21,0.2927,0.8962,-7.0,-7.0
19,53,14,6,33,0.2642,0.8845,-7.0,-7.0
