quantile,n,K,P,X,U,log_freq_min,log_freq_max,strict,lenient,x_rate,u_rate
0,100,90,8,2,0,-5.74,-2.08,0.9,0.98,0.02,0.0
1,99,69,7,23,0,-7.0,-2.84,0.697,0.7677,0.2323,0.0
2,100,78,9,13,0,-7.0,-2.3,0.78,0.87,0.13,0.0
3,99,80,6,13,0,-7.0,-3.53,0.8081,0.8687,0.1313,0.0
4,98,73,10,15,0,-7.0,-4.07,0.7449,0.8469,0.1531,0.0
5,97,62,10,24,1,-7.0,-4.37,0.6392,0.7423,0.2474,0.0103
6,94,53,11,29,1,-7.0,-4.71,0.5638,0.6809,0.3085,0.0106
7,91,41,13,37,0,-7.0,-5.2,0.4505,0.5934,0.4066,0.0
8,77,36,14,26,1,-7.0,-5.57,0.4675,0.6494,0.3377,0.013
9,71,30,11,29,1,-7.0,-6.15,0.4225,0.5775,0.4085,0.0141
10,87,32,8,46,1,-7.0,-7.0,0.3678,0.4598,0.5287,0.0115
11,90,34,14,42,0,-7.0,-7.0,0.3778,0.5333,0.4667,0.0
12,87,30,16,41,0,-7.0,-7.0,0.3448,0.5287,0.4713,0.0
13,72,25,6,41,0,-7.0,-7.0,0.3472,0.4306,0.5694,0.0
14,62,17,10,34,1,-7.0,-7.0,0.2742,0.4355,0.5484,0.0161
15,58,21,9,27,1,-7.0,-7.0,0.3621,0.5172,0.4655,0.0172
16,52,13,9,30,0,-7.0,-7.0,0.25,0.4231,0.5769,0.0
17,52,13,4,35,0,-7.0,-7.0,0.25,0.3269,0.6731,0.0
18,41,12,8,21,0,-7.0,-7.0,0.2927,0.4878,0.5122,0.0
19,53,14,6,33,0,-7.0,-7.0,0.2642,0.3774,0.6226,0.0
