quantile,n,K,P,X,U,log_freq_min,log_freq_max,strict,lenient,x_rate,u_rate
1,1,1,0,0,0,-5.68,-5.68,1.0,1.0,0.0,0.0
3,1,1,0,0,0,-4.82,-4.82,1.0,1.0,0.0,0.0
4,2,2,0,0,0,-5.89,-5.14,1.0,1.0,0.0,0.0
5,3,2,0,1,0,-5.92,-5.16,0.6667,0.6667,0.3333,0.0
6,6,3,0,3,0,-6.7,-5.47,0.5,0.5,0.5,0.0
7,9,7,0,2,0,-7.0,-5.29,0.7778,0.7778,0.2222,0.0
8,23,8,2,13,0,-7.0,-6.05,0.3478,0.4348,0.5652,0.0
9,29,12,0,17,0,-7.0,-6.52,0.4138,0.4138,0.5862,0.0
10,13,3,0,10,0,-7.0,-7.0,0.2308,0.2308,0.7692,0.0
11,10,2,2,6,0,-7.0,-7.0,0.2,0.4,0.6,0.0
12,13,2,0,11,0,-7.0,-7.0,0.1538,0.1538,0.8462,0.0
13,28,7,2,19,0,-7.0,-7.0,0.25,0.3214,0.6786,0.0
14,38,6,2,30,0,-7.0,-7.0,0.1579,0.2105,0.7895,0.0
15,42,6,1,35,0,-7.0,-7.0,0.1429,0.1667,0.8333,0.0
16,48,13,2,33,0,-7.0,-7.0,0.2708,0.3125,0.6875,0.0
17,48,11,3,34,0,-7.0,-7.0,0.2292,0.2917,0.7083,0.0
18,59,17,5,37,0,-7.0,-7.0,0.2881,0.3729,0.6271,0.0
19,47,14,4,29,0,-7.0,-7.0,0.2979,0.383,0.617,0.0
